bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1313318,1653,HJR4211,1,Introduced,2020-01-17,"Amending the state Constitution to provide property tax relief.","Amending the state Constitution to provide property tax relief.",933,"House Finance",2020-01-17,"First reading, referred to Finance.",https://legiscan.com/WA/bill/HJR4211/2019,https://app.leg.wa.gov/billsummary?BillNumber=4211&Year=2019&Initiative=false
1315347,1653,HJR4212,1,Introduced,2020-01-21,"Providing for community redevelopment financing in apportionment districts.","Providing for community redevelopment financing in apportionment districts.",943,"House Rules",2020-02-11,"Referred to Rules 2 Review.",https://legiscan.com/WA/bill/HJR4212/2019,https://app.leg.wa.gov/billsummary?BillNumber=4212&Year=2019&Initiative=false
1320374,1653,HJR4213,1,Introduced,2020-01-27,"Amending the state Constitution so that road usage charges are limited in relation to how they may be implemented.","Amending the state Constitution so that road usage charges are limited in relation to how they may be implemented.",946,"House Transportation",2020-01-27,"First reading, referred to Transportation.",https://legiscan.com/WA/bill/HJR4213/2019,https://app.leg.wa.gov/billsummary?BillNumber=4213&Year=2019&Initiative=false
1320130,1653,HJR4214,1,Introduced,2020-01-27,"Amending the state Constitution so that tracking individuals for the purposes of determining taxes or fees is prohibited.","Amending the state Constitution so that tracking individuals for the purposes of determining taxes or fees is prohibited.",946,"House Transportation",2020-01-27,"First reading, referred to Transportation.",https://legiscan.com/WA/bill/HJR4214/2019,https://app.leg.wa.gov/billsummary?BillNumber=4214&Year=2019&Initiative=false
1321750,1653,HJR4215,1,Introduced,2020-01-28,"Amending the Constitution concerning the effect of rejection of an act, law, or bill by the people.","Amending the Constitution concerning the effect of rejection of an act, law, or bill by the people.",3819,"House State Government & Tribal Relations",2020-01-28,"First reading, referred to State Government & Tribal Relations.",https://legiscan.com/WA/bill/HJR4215/2019,https://app.leg.wa.gov/billsummary?BillNumber=4215&Year=2019&Initiative=false
1133572,1653,HJM4000,1,Introduced,2019-01-14,"Supporting the continued research, development, production, and application of biochar from our forests and agricultural lands.","Supporting the continued research, development, production, and application of biochar from our forests and agricultural lands.",0,,2020-01-21,"House Rules ""X"" file.",https://legiscan.com/WA/bill/HJM4000/2019,https://app.leg.wa.gov/billsummary?BillNumber=4000&Year=2019&Initiative=false
1157930,1653,HJM4001,1,Introduced,2019-01-17,"Requesting that Congress amend further the marine mammal protection act to allow the use of hunting or bounty programs as tools to effectively manage populations of predatory sea lions.","Requesting that Congress amend further the marine mammal protection act to allow the use of hunting or bounty programs as tools to effectively manage populations of predatory sea lions.",3816,"House Rural Development, Agriculture, & Natural Resources",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4001/2019,https://app.leg.wa.gov/billsummary?BillNumber=4001&Year=2019&Initiative=false
1165175,1653,HJM4002,1,Introduced,2019-01-22,"Applying for a convention to propose amendments to the United States Constitution relating to fiscal restraints on the federal government, the power and jurisdiction of the federal government, and terms of office for federal officials and for members of Congress.","Applying for a convention to propose amendments to the United States Constitution relating to fiscal restraints on the federal government, the power and jurisdiction of the federal government, and terms of office for federal officials and for members of Congress.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4002/2019,https://app.leg.wa.gov/billsummary?BillNumber=4002&Year=2019&Initiative=false
1168617,1653,HJM4003,1,Introduced,2019-01-23,"Petitioning for the creation of a new state in eastern Washington.","Petitioning for the creation of a new state in eastern Washington.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4003/2019,https://app.leg.wa.gov/billsummary?BillNumber=4003&Year=2019&Initiative=false
1168102,1653,HJM4004,1,Introduced,2019-01-23,"Asking Congress to call a limited convention, authorized under Article V of the United States Constitution, for the purpose of proposing a free and fair elections amendment to that Constitution.","Asking Congress to call a limited convention, authorized under Article V of the United States Constitution, for the purpose of proposing a free and fair elections amendment to that Constitution.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4004/2019,https://app.leg.wa.gov/billsummary?BillNumber=4004&Year=2019&Initiative=false
1168234,1653,HJM4005,1,Introduced,2019-01-23,"Applying to Congress for a convention to propose an amendment to the United States Constitution related to a balanced federal budget.","Applying to Congress for a convention to propose an amendment to the United States Constitution related to a balanced federal budget.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4005/2019,https://app.leg.wa.gov/billsummary?BillNumber=4005&Year=2019&Initiative=false
1175285,1653,HJM4006,1,Introduced,2019-01-28,"Rescinding certain applications for a convention to amend the United States Constitution.","Rescinding certain applications for a convention to amend the United States Constitution.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4006/2019,https://app.leg.wa.gov/billsummary?BillNumber=4006&Year=2019&Initiative=false
1182627,1653,HJM4007,3,Enrolled,2019-04-26,"Designating the bridge over the Skookumchuck river on state route number 507 as the Regina Clark memorial bridge.","Designating the bridge over the Skookumchuck river on state route number 507 as the Regina Clark memorial bridge.",0,,2019-04-26,"Filed with Secretary of State.",https://legiscan.com/WA/bill/HJM4007/2019,https://app.leg.wa.gov/billsummary?BillNumber=4007&Year=2019&Initiative=false
1194772,1653,HJM4008,1,Introduced,2019-02-07,"Requesting that Congress establish more checks and balances to reduce the possibility of nuclear war.","Requesting that Congress establish more checks and balances to reduce the possibility of nuclear war.",3819,"House State Government & Tribal Relations",2020-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HJM4008/2019,https://app.leg.wa.gov/billsummary?BillNumber=4008&Year=2019&Initiative=false
1198516,1653,HJM4009,1,Introduced,2019-02-11,"Requesting Congress to incorporate Puerto Rico into the United States.","Requesting Congress to incorporate Puerto Rico into the United States.",3819,"House State Government & Tribal Relations",2020-01-13,"Referred to State Government & Tribal Relations.",https://legiscan.com/WA/bill/HJM4009/2019,https://app.leg.wa.gov/billsummary?BillNumber=4009&Year=2019&Initiative=false
