0,1,2
HB1693,1516,Introduced
HB1694,1516,Introduced
HB1696,1516,Engrossed
HB1697,1516,Introduced
HB1700,1516,Introduced
HB1701,1516,Introduced
HB1702,1516,Introduced
HB1703,1516,Introduced
HB1704,1516,Engrossed
HB1705,1516,Introduced
HB1706,1516,Passed
HB1708,1516,Introduced
HB1710,1516,Introduced
HB1711,1516,Introduced
HB1712,1516,Introduced
HB1713,1516,Passed
HB1715,1516,Introduced
HB1718,1516,Engrossed
HB1720,1516,Passed
HB1721,1516,Passed
HB1722,1516,Introduced
HB1723,1516,Introduced
HB1724,1516,Introduced
HB1725,1516,Passed
HB1726,1516,Introduced
HB1727,1516,Passed
HB1729,1516,Engrossed
HB1730,1516,Passed
HB1731,1516,Introduced
HB1732,1516,Engrossed
HB1733,1516,Introduced
HB1734,1516,Introduced
HB1735,1516,Engrossed
HB1736,1516,Introduced
HB1737,1516,Engrossed
HB1738,1516,Passed
HB1739,1516,Introduced
HB1741,1516,Introduced
HB1742,1516,Introduced
HB1743,1516,Introduced
HB1744,1516,Introduced
HB1745,1516,Engrossed
HB1746,1516,Introduced
HB1748,1516,Introduced
HB1750,1516,Introduced
HB1751,1516,Introduced
HB1753,1516,Introduced
HB1756,1516,Introduced
HB1759,1516,Introduced
HB1763,1516,Passed
HB1764,1516,Introduced
HB1766,1516,Introduced
HB1767,1516,Introduced
HB1768,1516,Introduced
HB1769,1516,Introduced
HB1770,1516,Engrossed
HB1773,1516,Introduced
HB1774,1516,Introduced
HB1775,1516,Introduced
HB1776,1516,Introduced
HB1777,1516,Introduced
HB1780,1516,Introduced
HB1782,1516,Introduced
HB1783,1516,Engrossed
HB1784,1516,Introduced
HB1786,1516,Introduced
HB1788,1516,Introduced
HB1789,1516,Introduced
HB1791,1516,Introduced
HB1793,1516,Engrossed
HB1795,1516,Introduced
HB1796,1516,Introduced
HB1797,1516,Introduced
HB1798,1516,Introduced
HB1799,1516,Introduced
HB1800,1516,Engrossed
HB1801,1516,Introduced
HB1805,1516,Introduced
HB1806,1516,Passed
HB1807,1516,Passed
HB1808,1516,Engrossed
HB1809,1516,Introduced
HB1810,1516,Introduced
HB1811,1516,Introduced
HB1812,1516,Introduced
HB1813,1516,Passed
HB1814,1516,Introduced
HB1815,1516,Introduced
HB1816,1516,Introduced
HB1817,1516,Passed
HB1824,1516,Introduced
HB1825,1516,Engrossed
HB1827,1516,Introduced
HB1831,1516,Introduced
HB1833,1516,Introduced
HB1835,1516,Introduced
HB1837,1516,Introduced
HB1838,1516,Introduced
HB1839,1516,Engrossed
HB1840,1516,Introduced
HB1841,1516,Introduced
HB1842,1516,Passed
HB1843,1516,Introduced
HB1844,1516,Passed
HB1846,1516,Introduced
HB1847,1516,Introduced
HB1850,1516,Engrossed
HB1851,1516,Passed
HB1852,1516,Introduced
HB1854,1516,Introduced
HB1857,1516,Introduced
HB1858,1516,Passed
HB1860,1516,Introduced
HB1861,1516,Introduced
HB1862,1516,Introduced
HB1865,1516,Engrossed
HB1867,1516,Engrossed
HB1868,1516,Passed
HB1869,1516,Introduced
HB1873,1516,Introduced
HB1874,1516,Engrossed
HB1878,1516,Introduced
HB1879,1516,Passed
HB1880,1516,Introduced
HB1881,1516,Introduced
HB1883,1516,Introduced
HB1884,1516,Passed
HB1885,1516,Introduced
HB1888,1516,Introduced
HB1889,1516,Introduced
HB1893,1516,Engrossed
HB1895,1516,Introduced
HB1896,1516,Passed
HB1897,1516,Passed
HB1900,1516,Engrossed
HB1901,1516,Introduced
HB1903,1516,Introduced
HB1904,1516,Introduced
HB1905,1516,Introduced
HB1909,1516,Introduced
HB1913,1516,Introduced
HB1918,1516,Passed
HB1919,1516,Passed
HB1920,1516,Introduced
HB1923,1516,Introduced
HB1931,1516,Introduced
HB1933,1516,Introduced
HB1938,1516,Introduced
HB1941,1516,Introduced
HB1946,1516,Introduced
HB1948,1516,Introduced
HB1949,1516,Engrossed
HB1956,1516,Engrossed
HB1958,1516,Introduced
HB1961,1516,Passed
HB1963,1516,Introduced
HB1965,1516,Passed
HB1968,1516,Introduced
HB1975,1516,Introduced
HB1980,1516,Passed
HB1988,1516,Introduced
HB1989,1516,Passed
HB1991,1516,Introduced
HB1999,1516,Passed
HB2001,1516,Introduced
HB2009,1516,Introduced
HB2015,1516,Introduced
HB2017,1516,Passed
HB2018,1516,Introduced
HB2021,1516,Passed
HB2023,1516,Passed
HB2027,1516,Introduced
HB2028,1516,Introduced
HB2033,1516,Engrossed
HB2034,1516,Introduced
HB2035,1516,Introduced
HB2036,1516,Introduced
HB2037,1516,Introduced
HB2038,1516,Introduced
HB2039,1516,Introduced
HB2042,1516,Introduced
HB2045,1516,Introduced
HB2047,1516,Introduced
HB2048,1516,Introduced
HB2050,1516,Introduced
HB2051,1516,Introduced
HB2052,1516,Introduced
HB2053,1516,Introduced
HB2057,1516,Introduced
HB2063,1516,Passed
HB2064,1516,Introduced
HB2071,1516,Introduced
HB2074,1516,Introduced
HB2075,1516,Introduced
HB2076,1516,Introduced
HB2077,1516,Introduced
HB2078,1516,Introduced
HB2091,1516,Introduced
HB2096,1516,Introduced
HB2097,1516,Introduced
HB2098,1516,Introduced
HB2107,1516,Engrossed
HB2112,1516,Introduced
HB2114,1516,Introduced
HB2115,1516,Introduced
HB2119,1516,Introduced
HB2124,1516,Introduced
HB2131,1516,Engrossed
HB2132,1516,Introduced
HB2144,1516,Introduced
HB2145,1516,Introduced
HB2146,1516,Introduced
HB2148,1516,Engrossed
HB2152,1516,Introduced
HB2157,1516,Introduced
HB2158,1516,Introduced
HB2161,1516,Introduced
HB2167,1516,Introduced
HB2182,1516,Introduced
HB2184,1516,Introduced
HB2185,1516,Introduced
HB2186,1516,Introduced
HB2200,1516,Introduced
HB2201,1516,Introduced
HB2204,1516,Introduced
HB2221,1516,Introduced
HB2222,1516,Introduced
HB2224,1516,Introduced
HB2226,1516,Introduced
HB2239,1516,Engrossed
HB2240,1516,Introduced
HB2241,1516,Introduced
HB2242,1516,Introduced
HB2248,1516,Introduced
HB2277,1516,Introduced
HB2278,1516,Introduced
HB2279,1516,Introduced
HB2282,1516,Introduced
HB2284,1516,Introduced
HB2285,1516,
HB2288,1516,Introduced
HB2293,1516,Introduced
HB2296,1516,Engrossed
HB2297,1516,Introduced
HB2299,1516,Introduced
HB2300,1516,Engrossed
HB2304,1516,Introduced
HB2307,1516,Engrossed
HB2310,1516,Introduced
HB2311,1516,Introduced
HB2312,1516,Introduced
HB2319,1516,Introduced
HB2322,1516,Passed
HB2325,1516,Introduced
HB2327,1516,Introduced
HB2328,1516,Introduced
HB2330,1516,Introduced
HB2332,1516,Passed
HB2335,1516,Passed
HB2336,1516,Introduced
HB2337,1516,Introduced
HB2338,1516,Introduced
HB2340,1516,Engrossed
HB2343,1516,Introduced
HB2352,1516,Introduced
HB2354,1516,Introduced
HB2355,1516,Engrossed
HB2356,1516,Passed
HB2357,1516,Passed
HB2359,1516,Passed
HB2360,1516,Passed
HB2362,1516,Passed
HB2363,1516,Introduced
HB2364,1516,Introduced
HB2367,1516,Introduced
HB2372,1516,Introduced
HB2374,1516,Introduced
HB2376,1516,Passed
HB2378,1516,Introduced
HB2380,1516,Passed
HB2389,1516,Introduced
HB2396,1516,Engrossed
HB2400,1516,Passed
HB2401,1516,Introduced
HB2403,1516,Passed
HB2405,1516,Passed
HB2406,1516,Introduced
HB2408,1516,Introduced
HB2410,1516,Passed
HB2411,1516,Introduced
HB2412,1516,Introduced
HB2413,1516,Passed
HB2415,1516,Introduced
HB2417,1516,Engrossed
HB2419,1516,Introduced
HB2420,1516,Introduced
HB2422,1516,Introduced
HB2426,1516,Introduced
HB2437,1516,Introduced
HB2438,1516,Introduced
HB2442,1516,Introduced
HB2443,1516,Passed
HB2444,1516,Passed
HB2451,1516,Introduced
HB2452,1516,Engrossed
HB2453,1516,Engrossed
HB2455,1516,Introduced
HB2456,1516,Introduced
HB2461,1516,Introduced
HB2462,1516,Engrossed
HB2464,1516,Introduced
HB2467,1516,Introduced
HB2468,1516,Introduced
HB2477,1516,Introduced
HB2482,1516,Introduced
HB2484,1516,Introduced
HB2486,1516,Introduced
HB2489,1516,Introduced
HB2492,1516,Introduced
HB2496,1516,Engrossed
HB2498,1516,Passed
HB2502,1516,Introduced
HB2511,1516,Passed
HB2512,1516,Engrossed
HB2515,1516,Introduced
HB2517,1516,Introduced
HB2518,1516,Engrossed
HB2520,1516,Passed
HB2521,1516,Passed
HB2528,1516,Introduced
